title,s_img,scrible,author,publisher,pub_date,price,score,num
我的阿勒泰(My Altay),https://img1.doubanio.com/view/subject/s/public/s6180859.jpg,描写疆北阿勒泰地区生活和风情的原生态散文集,李娟,云南人民出版社,2010-07-01,25.0,8.9,30598
恶意(悪意),https://img9.doubanio.com/view/subject/s/public/s29827014.jpg,无,[日] 东野圭吾,南海出版公司,2016-11-01,39.5,8.7,137604
亮剑(无),https://img3.doubanio.com/view/subject/s/public/s1513433.jpg,面对强大的对手，明知不敌，也要毅然亮剑,都梁,解放军文艺出版社,2005-03-01,28.0,9.0,31904
翦商(无),https://img1.doubanio.com/view/subject/s/public/s34385069.jpg,无,李硕,广西师范大学出版社,2022-10-01,99.0,9.0,31156
球状闪电(无),https://img9.doubanio.com/view/subject/s/public/s26040205.jpg,量子之外，没有真相,刘慈欣,四川科学技术出版社,2005-06-01,22.0,8.7,90515
不能承受的生命之轻(无),https://img3.doubanio.com/view/subject/s/public/s4421443.jpg,无,米兰·昆德拉,上海译文出版社,2010-08-01,29.0,8.8,48163
半生缘(无),https://img1.doubanio.com/view/subject/s/public/s10199588.jpg,无,张爱玲,北京十月文艺出版社,2012-06-01,29.6,9.1,33612
草房子(无),https://img1.doubanio.com/view/subject/s/public/s2652540.jpg,男孩桑桑刻骨铭心、终身难忘的六年小学生活,曹文轩,江苏少年儿童出版社,2009-06-01,18.0,9.0,55471
温柔的夜(无),https://img1.doubanio.com/view/subject/s/public/s2391798.jpg,三毛在加纳利群岛的生活,三毛,北京十月文艺出版社,2007-05-01,28.0,9.1,24159
史蒂夫·乔布斯传(Steve Jobs: A Biography),https://img3.doubanio.com/view/subject/s/public/s6974202.jpg,完美主义者的最高形态,[美] 沃尔特·艾萨克森,中信出版社,2011-10-24,68.0,8.8,62115
我不知道该说什么，关于死亡还是爱情(Voices from Chernobyl),https://img3.doubanio.com/view/subject/s/public/s28313152.jpg,真实记录切尔诺贝利核灾难事件,[白俄] S·A·阿列克谢耶维奇,花城出版社,2014-06-15,34.8,9.2,20627
苏菲的世界(Sofies verden),https://img1.doubanio.com/view/subject/s/public/s3042670.jpg,哲学启蒙书,[挪威] 乔斯坦·贾德,作家出版社,2007-10-01,26.0,8.8,59957
爱的艺术(无),https://img9.doubanio.com/view/subject/s/public/s2990934.jpg,谦恭地、勇敢地、真诚地和有纪律地爱他人,[美] 艾·弗洛姆,上海译文出版社,2008-04-01,15.0,8.8,51518
德米安(Demian: die geschichte von emil sinclairs jugend),https://img2.doubanio.com/view/subject/s/public/s5988251.jpg,少年辛克莱寻找通向自身之路的艰辛历程,[德] 赫尔曼·黑塞,上海人民出版社,2009-03-01,25.0,8.9,39711
万水千山走遍(无),https://img3.doubanio.com/view/subject/s/public/s1099483.jpg,从遥远的撒哈拉到敦煌戈壁,三毛,哈尔滨出版社,2003-08-01,13.8,8.9,46831
全球通史(上)(无),https://img2.doubanio.com/view/subject/s/public/s28330151.jpg,无,[美]斯塔夫里阿诺斯,北京大学出版社,2006-01-10,42.0,9.2,19587
一个陌生女人的来信(Brief einer Unbekannten),https://img1.doubanio.com/view/subject/s/public/s2611329.jpg,暗恋的极致,[奥] 斯蒂芬·茨威格,上海译文出版社,2007-07-01,20.0,8.7,148907
安娜·卡列尼娜(Anna karenina),https://img1.doubanio.com/view/subject/s/public/s5763939.jpg,无,[俄罗斯] 列夫·托尔斯泰,上海文艺出版社,2007-08-01,37.0,9.2,31150
國史大綱（上下）(无),https://img9.doubanio.com/view/subject/s/public/s6795555.jpg,钱穆中国通史,錢穆,商务印书馆,2013-08-01,76.0,9.4,16672
经济学原理（上下）(无),https://img9.doubanio.com/view/subject/s/public/s1785715.jpg,经济学家们的世界观,[美国] 格里高里·曼昆,机械工业出版社,2003-08-01,88.0,9.1,22648
强风吹拂(風が強く吹いている),https://img1.doubanio.com/view/subject/s/public/s27914268.jpg,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,三浦紫苑,广西师范大学出版社,2015-01-01,39.0,9.0,29436
阿勒泰的角落(无),https://img1.doubanio.com/view/subject/s/public/s6185540.jpg,白雪和阳光，青草和白桦林,李娟,万卷出版公司,2010-06-01,25.0,9.1,22373
额尔古纳河右岸(无),https://img1.doubanio.com/view/subject/s/public/s34734949.jpg,无,迟子建,人民文学出版社,2019-06-01,32.0,9.0,54592
鹿鼎记(无),https://img1.doubanio.com/view/subject/s/public/s3134040.jpg,武侠的解构，流氓的狂欢,金庸,朗声图书,2008-03-01,108.0,8.9,56462
流俗地(无),https://img3.doubanio.com/view/subject/s/public/s33884123.jpg,无,[马来西亚] 黎紫书,北京十月文艺出版社,2021-04-01,55.0,9.2,23388
斯通纳(Stoner),https://img2.doubanio.com/view/subject/s/public/s28332051.jpg,即使不能拥有完美的生活，所幸追求过完整的自我,[美] 约翰·威廉斯,上海人民出版社,2016-01-01,49.0,8.8,66358
西线无战事(Im Westen nichts Neues),https://img1.doubanio.com/view/subject/s/public/s33779178.jpg,无,[德] 埃里希·玛丽亚·雷马克,上海文艺出版社,2021-01-01,49.0,9.4,22540
教父(The Godfather),https://img1.doubanio.com/view/subject/s/public/s2832939.jpg,“教父三部曲”电影原著,[美]马里奥·普佐,译林出版社,1997-08-01,23.3,9.0,41016
茶馆(无),https://img1.doubanio.com/view/subject/s/public/s33516550.jpg,清末、民初、抗战胜利以后三个历史时期的北京生活风貌,老舍,人民文学出版社,2002-01-01,9.8,9.2,35147
少年凯歌(无),https://img9.doubanio.com/view/subject/s/public/s1077996.jpg,无,陈凯歌,人民文学出版社,2001-06-01,10.0,9.3,19085
人生的智慧(无),https://img9.doubanio.com/view/subject/s/public/s4619775.jpg,对世俗、实用问题深刻而透彻的讨论,(德)叔本华,上海人民出版社,2008-10-01,28.0,9.2,33639
飞鸟集(无),https://img3.doubanio.com/view/subject/s/public/s1044902.jpg,一个淡泊清透的世界,[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,2004-06-01,16.8,8.9,67217
海子的诗(无),https://img2.doubanio.com/view/subject/s/public/s1067491.jpg,无,海子,人民文学出版社,1999-04-01,15.4,9.0,47321
遥远的向日葵地(无),https://img1.doubanio.com/view/subject/s/public/s29878650.jpg,无,李娟,花城出版社,2017-11-01,38.0,9.1,37418
